,Tempo (s) ,Vin (V) , Vout (V) - RC=1 ,Vout (V) - RC=0.1 , Vout (V) - RC=0.5 
130,6.532663316582915,1.0,0.14235202331592295,0.9902796259301184,0.39292934564104015
131,6.582914572864322,1.0,0.18438496091208414,0.9941190894402671,0.4509757185761268
132,6.633165829145729,1.0,0.22435788390433936,0.9964419972926584,0.5034718668625913
133,6.683417085427136,1.0,0.26237175094145115,0.9978473796175474,0.550948479499836
134,6.733668341708543,1.0,0.2985225684122094,0.9986976472083943,0.5938855128355056
135,6.78391959798995,1.0,0.3329016575332569,0.9992120660820102,0.6327170295498071
136,6.834170854271357,1.0,0.36559585486342583,0.9995232936090305,0.6678355872188019
137,6.884422110552764,1.0,0.396687722535363,0.9997115887682234,0.6995962070483092
138,6.934673366834171,1.0,0.42625578784326285,0.9998255088577996,0.7283199661070912
139,6.984924623115578,1.0,0.45437473627448094,0.999894432172173,0.754297240461992
140,7.035175879396985,-1.0,0.4119867687225702,0.40683568216739463,0.6419224837897627
141,7.085427135678392,-1.0,0.34278593310941047,-0.14885228579371568,0.48492649957989764
142,7.135678391959799,-1.0,0.27697659774892636,-0.48504828803020833,0.342942075502613
143,7.185929648241206,-1.0,0.21439255928249837,-0.6884497709268204,0.21453377015863032
144,7.236180904522613,-1.0,0.15487573166306753,-0.811509418509452,0.09840350358227182
145,7.28643216080402,-1.0,0.09827579601512794,-0.8859615692022985,-0.006622715932658389
146,7.336683417085427,-1.0,0.04444979750685056,-0.9310057610592358,-0.10160662737712813
147,7.386934673366834,-1.0,-0.006738212942653941,-0.9582578882624034,-0.18750843396947847
148,7.437185929648241,-1.0,-0.05541752286906204,-0.9747456605546598,-0.2651965883352759
149,7.4874371859296485,-1.0,-0.10171108121835785,-0.9847209060984008,-0.33545641192836445
150,7.5376884422110555,-1.0,-0.14573580733480662,-0.990756015758144,-0.39899818378187074
151,7.5879396984924625,-1.0,-0.18760290612272718,-0.9944073095242765,-0.45646427199586975
152,7.63819095477387,-1.0,-0.22741812853412297,-0.9966163737950526,-0.5084356158897565
153,7.688442211055277,-1.0,-0.2652820225618016,-0.9979528764897817,-0.5554376071526145
154,7.738693467336684,-1.0,-0.30129022174140174,-0.9987614746696424,-0.5979454024141153
155,7.788944723618091,-1.0,-0.33553367442719084,-0.9992506821536224,-0.636388727183173
156,7.839195979899498,-1.0,-0.3680988688031733,-0.9995466565283034,-0.6711562077309491
157,7.889447236180905,-1.0,-0.3990680579857423,-0.9997257235756303,-0.7025993192719291
158,7.939698492462312,-1.0,-0.4285194613484864,-0.9998340595128263,-0.7310359304756071
159,7.989949748743719,-1.0,-0.45652746498351954,-0.9998996028786991,-0.7567535142633067
160,8.040201005025127,1.0,-0.40435544051921873,-0.33788735553084526,-0.6255026760568523
161,8.090452261306533,1.0,-0.3355286153846446,0.1905666093138266,-0.4700767150353714
162,8.14070351758794,1.0,-0.2700749618173621,0.5102858223981458,-0.3295121780664464
163,8.190954773869347,1.0,-0.2078291636916779,0.7037187099611616,-0.20238800358504205
164,8.241206030150755,1.0,-0.14863400488651854,0.8207472697343625,-0.08741908065742197
165,8.291457286432161,1.0,-0.09233997096447608,0.8915505439086705,0.016556839377861413
166,8.341708542713569,1.0,-0.038804881604868294,0.9343871425611733,0.1105908781080518
167,8.391959798994975,1.0,0.012106478135789259,0.9603036525325404,0.19563363757233707
168,8.442211055276383,1.0,0.060522695560103784,0.9759833657988746,0.2725448832740037
169,8.492462311557789,1.0,0.10656605393581836,0.9854697283694581,0.34210208339871334
170,8.542713567839197,1.0,0.1503528482629238,0.9912090597447564,0.4050084143819157
171,8.592964824120603,1.0,0.19199367152208918,0.9946814041410252,0.4618998215894164
172,8.643216080402011,1.0,0.2315936969757255,0.9967822056958657,0.5133514334384026
173,8.693467336683417,1.0,0.269252942954865,0.998053208128473,0.5598833882240253
174,8.743718592964825,1.0,0.3050665263112598,0.9988221758527811,0.6019660910834932
175,8.793969849246231,1.0,0.33912490210161444,0.999287406725058,0.6400249682053677
176,8.84422110552764,1.0,0.37151409228449844,0.9995688752363259,0.6744447622448109
177,8.894472361809045,1.0,0.4023159035859037,0.9997391660478032,0.7055734316923897
178,8.944723618090453,1.0,0.4316081328579203,0.9998421931296607,0.7337256663051067
179,8.99497487437186,1.0,0.4594647609547104,0.9999045235514858,0.7591860647961478
180,9.045226130653267,-1.0,0.3975187257650489,0.2723180550750301,0.609247907765176
181,9.095477386934673,-1.0,0.32902696500929796,-0.2302366063719745,0.45537619506341376
182,9.145728643216081,-1.0,0.2638919547357442,-0.5342865027207366,0.3162172555041477
183,9.195979899497488,-1.0,0.20194918164935227,-0.7182393132089623,0.19036429637628227
184,9.246231155778895,-1.0,0.143042195866772,-0.829532349409091,0.07654504183383432
185,9.296482412060302,-1.0,0.08702221529135983,-0.8968655983469657,-0.026391138801218197
186,9.34673366834171,-1.0,0.03374775359525834,-0.9376027928782498,-0.11948485405607277
187,9.396984924623116,-1.0,-0.016915754051821455,-0.9622491493612405,-0.2036772130127373
188,9.447236180904524,-1.0,-0.06509627251930389,-0.9771604082668102,-0.2798193390496728
189,9.49748743718593,-1.0,-0.11091548420194725,-0.9861818492624608,-0.34868096486185557
190,9.547738693467338,-1.0,-0.15448911826544787,-0.9916398990605725,-0.41095823882258076
191,9.597989949748744,-1.0,-0.1959272261918667,-0.9949420665624886,-0.4672807384797265
192,9.648241206030152,-1.0,-0.2353344697610497,-0.9969399057973884,-0.5182178409580344
193,9.698492462311558,-1.0,-0.27281038196340995,-0.9981486180355926,-0.564284482339719
194,9.748743718592966,-1.0,-0.3084496171257815,-0.9988798993413819,-0.6059463626050012
195,9.798994974874372,-1.0,-0.342342189210315,-0.9993223299381256,-0.6436246519918867
196,9.84924623115578,-1.0,-0.3745737017067119,-0.9995900040932282,-0.6777002504468262
197,9.899497487437186,-1.0,-0.40522556214958594,-0.9997519501418841,-0.7085176366120777
198,9.949748743718594,-1.0,-0.4343751889471697,-0.999849924967772,-0.7363883495847953
199,10.0,1.0,-0.4620961644507253,-0.9999091928363144,-0.7615941445953324
